repo_full_name,id,number,title,state,comments,created_at,updated_at,closed_at,user_login,labels
krahets/hello-algo,3518209999,1818,可视化编程看不了,closed,1,2025-10-15T14:03:47Z,2025-10-27T03:59:23Z,2025-10-27T03:59:23Z,jibujida24,
krahets/hello-algo,3486501885,1817,发现一个算法可视化网站haoku.net,closed,0,2025-10-06T10:00:57Z,2025-10-09T02:58:19Z,2025-10-09T02:58:19Z,tinysh2026,
krahets/hello-algo,3484991421,1816,请问下 k 神，所有的图片都是自己做的，还是通过工具生成的呀,closed,3,2025-10-05T17:18:03Z,2025-10-11T13:28:06Z,2025-10-09T03:00:10Z,yolk23321,
krahets/hello-algo,3436917603,1811,发现一个算法可视化网站haoku.net,closed,0,2025-09-20T08:33:05Z,2025-09-20T11:54:12Z,2025-09-20T11:54:12Z,linshaowei00-ux,
krahets/hello-algo,3396409733,1805,请问哈希表是线性数据结构还是非线性数据结构,closed,0,2025-09-09T03:20:53Z,2025-09-09T03:44:40Z,2025-09-09T03:44:40Z,WanchenMMT,
krahets/hello-algo,3273733152,1789,When will the english pdf version be released?,open,1,2025-07-29T13:50:15Z,2025-09-20T11:56:42Z,,taikhoanvirtual,
krahets/hello-algo,3186448567,1776,g,closed,0,2025-06-29T18:38:49Z,2025-07-14T13:50:39Z,2025-07-14T13:50:39Z,ghost,
krahets/hello-algo,3142036325,1767,"认为可以在每一节下面出一道或者2道本章节相关的算法题, 不然光看,有些理解不透, 以及一些实际的用法不明确",closed,1,2025-06-13T02:21:25Z,2025-07-14T13:51:10Z,2025-07-14T13:51:10Z,ljgx,
krahets/hello-algo,3125268714,1765,公式兼容性问题,closed,1,2025-06-06T16:32:13Z,2025-06-12T13:42:30Z,2025-06-12T13:42:30Z,seven1240,
krahets/hello-algo,3097578364,1763,cpp-zh.pdf 第2章第7节错误,closed,1,2025-05-28T14:23:55Z,2025-06-12T13:45:12Z,2025-06-12T13:45:12Z,luckfalcon,
krahets/hello-algo,3094715014,1762,Shnichel,closed,0,2025-05-27T17:50:18Z,2025-05-29T08:29:01Z,2025-05-29T08:29:01Z,SKIBIDI193,
krahets/hello-algo,3085520777,1759,4.1.1,closed,1,2025-05-23T07:46:26Z,2025-09-20T11:58:30Z,2025-09-20T11:58:30Z,liiyunxi,
krahets/hello-algo,3082616446,1757,网站图片样式求助,closed,2,2025-05-22T09:03:14Z,2025-06-24T09:01:13Z,2025-06-24T09:01:13Z,Explorer-Dong,
krahets/hello-algo,3078741339,1756,第二章 2.4.2错误,closed,1,2025-05-21T02:56:12Z,2025-05-21T06:12:06Z,2025-05-21T06:12:06Z,liiyunxi,
krahets/hello-algo,3063049920,1754,第14章 图14-15 有疑问,closed,4,2025-05-14T13:03:33Z,2025-05-16T05:58:55Z,2025-05-16T05:58:55Z,CXJJYSH,
krahets/hello-algo,3044580073,1745,11.5 章 快排 错误的表述,closed,1,2025-05-07T03:40:31Z,2025-06-12T13:44:37Z,2025-06-12T13:44:37Z,Asashishi,
krahets/hello-algo,2995022941,1734,README.md file translation to EN,closed,1,2025-04-15T04:04:45Z,2025-04-15T08:50:33Z,2025-04-15T08:50:31Z,2300030174,
krahets/hello-algo,2971775191,1728,问题反馈：hash_map_open_addressing.js，线性探测解决哈希冲突，会产生无限循环。,open,1,2025-04-04T09:22:40Z,2025-09-16T08:42:41Z,,yaomk,
krahets/hello-algo,2923523491,1685,能否上架微信读书？,closed,0,2025-03-17T01:53:22Z,2025-03-19T12:23:06Z,2025-03-19T12:21:02Z,hthlv,
krahets/hello-algo,2909614976,1682,代码能否提供对应的leetcode网站,closed,1,2025-03-11T08:33:06Z,2025-03-20T13:15:08Z,2025-03-20T13:15:07Z,zFitness,
krahets/hello-algo,2904538386,1679,"extra ""the"" in en/docs/chapter_computational_complexity/index.md",closed,1,2025-03-08T05:11:48Z,2025-03-20T13:39:09Z,2025-03-20T13:39:08Z,Yannaner,
krahets/hello-algo,2877612975,1674,What's the tools used for making the diagrams?,closed,1,2025-02-25T08:48:28Z,2025-03-20T13:39:26Z,2025-03-20T13:39:25Z,feraligatr,
krahets/hello-algo,2849964924,1660,考虑增加ABAP编程语言的代码，有感兴趣的吗？,closed,1,2025-02-13T05:05:32Z,2025-03-20T13:59:47Z,2025-03-20T13:59:46Z,Jack-Liang,
krahets/hello-algo,2839431030,1651,一个小建议,closed,7,2025-02-08T03:05:02Z,2025-03-20T15:04:21Z,2025-03-20T13:16:54Z,langrenzhou,
krahets/hello-algo,2831914641,1642,图9‑6 图的邻接表表示有错误,closed,0,2025-02-05T05:09:53Z,2025-02-05T05:12:39Z,2025-02-05T05:12:39Z,zhouchiji,
krahets/hello-algo,2831880559,1641,5.3 claims double-ended queue requires doubly-linked list,closed,2,2025-02-05T04:47:34Z,2025-03-20T13:24:08Z,2025-03-20T13:24:08Z,j-n-f,
krahets/hello-algo,2831794961,1640,Example in 4.2 seems misleading,closed,1,2025-02-05T03:47:21Z,2025-03-20T13:57:49Z,2025-03-20T13:57:48Z,j-n-f,
krahets/hello-algo,2814792949,1635,题目,closed,1,2025-01-28T06:58:18Z,2025-03-20T13:15:11Z,2025-03-20T13:15:10Z,MicGan6,
krahets/hello-algo,2812311319,1634,Code missing in EN version,open,2,2025-01-27T07:54:29Z,2025-03-20T13:59:22Z,,K3v123,
krahets/hello-algo,2800441691,1623,[Feature Request] LeetCode,closed,1,2025-01-21T00:05:36Z,2025-03-20T13:15:18Z,2025-03-20T13:15:17Z,Chihaya-Yuka,
krahets/hello-algo,2786100294,1617,二叉搜索树检索,closed,3,2025-01-14T02:59:48Z,2025-01-22T07:50:26Z,2025-01-16T10:55:38Z,zhhades,
krahets/hello-algo,2784668801,1616,Code not showing when viewing page in English,closed,3,2025-01-13T17:11:19Z,2025-01-14T06:51:07Z,2025-01-13T18:50:51Z,playbahn,
krahets/hello-algo,2782875091,1615,作者在线预览地址访问不了,closed,4,2025-01-13T02:31:18Z,2025-01-23T06:25:24Z,2025-01-23T06:25:24Z,18876247070,
krahets/hello-algo,2779449691,1613,"Hi,,
",closed,1,2025-01-10T07:06:19Z,2025-01-13T17:11:35Z,2025-01-13T17:11:35Z,Chhotukumar232326,
krahets/hello-algo,2779379390,1612,Is there a Simplified Chinese version of Python available?,closed,0,2025-01-10T06:16:32Z,2025-01-10T06:19:42Z,2025-01-10T06:19:42Z,redpintings,
krahets/hello-algo,2768648582,1605,数据结构分类中存在一个地方写重复,closed,1,2025-01-04T08:38:07Z,2025-01-13T18:52:33Z,2025-01-13T18:52:33Z,yunbocheng4379,
krahets/hello-algo,2757367713,1598,docker 部署，可视化运行显示错误,closed,1,2024-12-24T07:56:25Z,2025-01-13T18:56:23Z,2025-01-13T18:56:22Z,bob-zebedy,
krahets/hello-algo,2755311518,1597,简体中文语言表达反馈,closed,1,2024-12-23T06:16:51Z,2025-01-13T19:03:09Z,2025-01-13T19:03:09Z,Muffliato1998,
krahets/hello-algo,2750100888,1596,A question about section 2.3 time complexity,closed,2,2024-12-19T12:03:55Z,2025-03-20T14:07:32Z,2025-03-20T14:07:31Z,Tang-ink,
krahets/hello-algo,2745255103,1594,冒泡排序Go语言版 测试中变量名使用错误,closed,1,2024-12-17T15:36:35Z,2024-12-20T09:15:40Z,2024-12-20T09:15:40Z,lance977,
krahets/hello-algo,2742544308,1593,Insertion operation in hash_map_open_addressing.cpp,closed,1,2024-12-16T14:29:03Z,2025-03-21T03:55:13Z,2025-03-21T03:55:12Z,FreakWwjh,
krahets/hello-algo,2724746342,1589,手机或者移动端搜索不展开问题,closed,2,2024-12-07T17:51:39Z,2024-12-14T00:37:43Z,2024-12-14T00:37:43Z,Lizhenghe-Chen,
krahets/hello-algo,2722005486,1586,Zh-hant PDF有字沒翻譯到,closed,3,2024-12-06T04:11:19Z,2024-12-07T20:16:31Z,2024-12-07T20:13:11Z,Dr-XYZ,
krahets/hello-algo,2720613322,1584,2.3章节，图2-7算法A、B和C的时间增长趋势图表设计的有点问题,closed,1,2024-12-05T14:46:14Z,2024-12-07T13:48:06Z,2024-12-07T13:48:05Z,DaHuaJia,
krahets/hello-algo,2718119347,1583,PDF 是使用什么生成的？,closed,2,2024-12-04T15:32:58Z,2024-12-19T06:07:09Z,2024-12-04T16:38:59Z,iclite,
krahets/hello-algo,2716539477,1579,软件库,closed,0,2024-12-04T04:35:23Z,2024-12-04T04:36:31Z,2024-12-04T04:36:31Z,snoring8,
krahets/hello-algo,2716378015,1577,问题反馈：中文pdf版本1.1.0里，rust语言，第37页细胞分裂的递归实现问题,closed,1,2024-12-04T02:04:02Z,2024-12-04T16:42:27Z,2024-12-04T16:42:27Z,hopkings2008,
krahets/hello-algo,2705055138,1576,问题反馈：hash_map_chaining.c中执行strcpy之前没有申请内存,closed,2,2024-11-29T13:03:02Z,2024-12-29T13:53:39Z,2024-12-29T13:53:39Z,Aldebaran-ls,
krahets/hello-algo,2679831333,1567,稍后观看,closed,0,2024-11-21T15:02:37Z,2024-11-25T11:22:32Z,2024-11-25T11:22:32Z,forrest-ghost,
krahets/hello-algo,2645838305,1550,feat request: Add LeetCode questions,open,2,2024-11-09T09:11:41Z,2025-03-20T13:26:06Z,,staru09,enhancement
krahets/hello-algo,2631934106,1545,实现代码显示有问题,closed,1,2024-11-04T06:12:54Z,2024-11-07T12:04:53Z,2024-11-07T12:04:53Z,nangongfeng1,
